time,join,cpu,bw,current,next
0,51,0,0,0,51
1,103,24.6,0.6,51,134
2,217,24.6,0.6,134,318
3,410,24.6,0.6,318,630
4,647,23.71111111,1.696603175,630,1088
5,849,20.68897059,5.661259191,1088,1477
6,1092,17.49695328,9.296973595,1477,1720
7,1232,15.87209302,10.87840116,1720,1787
8,1488,15.45886961,11.25139899,1787,1809
9,1657,15.32150359,11.34893311,1809,1892
10,1811,14.37843552,12.414926,1892,1875
11,2156,14.63392,12.119616,1875,1874
0,65,0,0,0,65
1,98,24.6,0.6,65,143
2,203,24.6,0.6,143,304
3,411,24.33157895,0.910263158,304,632
4,610,23.38734177,2.139556962,632,1046
5,827,20.8416826,5.548097514,1046,1444
6,1051,18.04432133,8.871509695,1444,1721
7,1235,15.72469494,11.1625799,1721,1859
8,1449,14.73146853,12.06544917,1859,1985
9,1685,13.6115869,13.4659194,1985,2058
10,1823,13.30087805,13.68170732,2058,2072
11,2138,13.33791749,13.61764244,2072,2123
0,52,0,0,0,52
1,93,24.6,0.6,52,126
2,188,24.6,0.6,126,279
3,410,24.50250896,0.712688172,279,621
4,612,23.31304348,2.192801932,621,1082
5,836,20.87504621,5.328382625,1082,1465
6,1045,17.82812287,9.096593857,1465,1687
7,1228,16.11914641,10.841885,1687,1852
8,1497,14.65485961,12.2012689,1852,1959
9,1764,13.8949464,12.97378254,1959,1906
10,1838,13.7613851,13.12816369,1906,1877
11,2103,13.92722429,12.9364731,1877,1889
0,40,0,0,0,40
1,107,24.6,0.6,40,132
2,217,24.6,0.6,132,320
3,459,24.6,0.6,320,686
4,608,22.96034985,2.749271137,686,1078
5,809,20.42263451,5.913506494,1078,1465
6,1098,17.74075085,8.929945392,1465,1647
7,1281,16.60631451,9.998469945,1647,1780
8,1483,15.54921348,11.28192135,1780,1875
9,1706,14.54432,12.26965333,1875,1862
10,1905,14.52352309,12.25892052,1862,1922
11,2087,14.1433923,12.72060874,1922,1905
0,57,0,0,0,57
1,82,24.6,0.6,57,123
2,216,24.6,0.6,123,306
3,447,24.51111111,0.702745098,306,667
4,630,23.36581709,2.222518741,667,1092
5,800,20.64981685,5.544954212,1092,1420
6,1049,18.10760563,8.518626761,1420,1643
7,1325,16.30882532,10.35597687,1643,1816
8,1544,15.16563877,11.5409967,1816,1882
9,1699,14.60892667,12.1600797,1882,1852
10,1950,14.84794816,11.87222462,1852,1939
11,2155,14.12408458,12.72015988,1939,1937
0,45,0,0,0,45
1,106,24.6,0.6,45,138
2,213,24.6,0.6,138,310
3,414,24.42451613,0.80283871,310,623
4,615,23.50979133,2.034975923,623,1060
5,830,20.52377358,5.825386792,1060,1464
6,1011,17.66120219,9.200717213,1464,1597
7,1262,16.52135254,10.11528491,1597,1580
8,1474,16.72962025,9.752379747,1580,1712
9,1646,16.31775701,10.1860222,1712,1916
10,1863,14.09561587,12.85552192,1916,1960
11,2077,13.71591837,13.19183163,1960,1969
0,46,0,0,0,46
1,111,24.6,0.6,46,142
2,217,24.6,0.6,142,311
3,414,24.35562701,0.952508039,311,645
4,597,23.10418605,2.497844961,645,1042
5,838,20.56545106,5.765182342,1042,1464
6,1064,17.34535519,9.56579918,1464,1716
7,1209,15.73193473,11.12970862,1716,1895
8,1502,14.39841689,12.51827441,1895,1979
9,1785,13.81920162,13.09435574,1979,1998
10,1801,13.58418418,13.3765966,1998,2009
11,2141,13.59661017,13.31862413,2009,2055
0,54,0,0,0,54
1,131,24.6,0.6,54,170
2,195,24.6,0.6,170,313
3,418,24.51309904,0.700447284,313,654
4,652,23.21284404,2.469847095,654,1100
5,867,20.23563636,6.317981818,1100,1482
6,1017,17.35681511,9.354426451,1482,1707
7,1355,15.90732279,10.80084359,1707,1870
8,1436,14.59786096,12.26613369,1870,1934
9,1629,14.17724922,12.67,1934,2014
10,1876,13.56087388,13.39237835,2014,1968
11,2091,13.83042138,13.04836588,1968,1961
0,49,0,0,0,49
1,105,24.6,0.6,49,135
2,220,24.6,0.6,135,314
3,396,24.42675159,0.800254777,314,619
4,658,23.86203554,1.48819063,619,1102
5,860,20.43448276,5.869482759,1102,1514
6,1090,17.57859974,9.147542933,1514,1674
7,1249,16.36105137,10.21434289,1674,1586
8,1477,15.91752837,10.71832282,1586,1740
9,1668,15.97885057,10.56503448,1740,1908
10,1858,14.48595388,12.34773061,1908,1919
11,2181,14.37634184,12.42869724,1919,1905
0,45,0,0,0,45
1,122,24.6,0.6,45,153
2,213,24.6,0.6,153,317
3,422,24.34258675,0.897539432,317,655
4,671,23.3480916,2.346366412,655,1104
5,881,20.48043478,5.677427536,1104,1543
6,1015,17.0184057,9.871652625,1543,1730
7,1251,15.64647399,11.22623121,1730,1972
8,1446,13.87423935,13.34014706,1972,2042
9,1733,13.4035503,13.73511834,2042,2038
10,1990,13.52375691,13.46847815,2038,2167
11,2103,13.11599229,13.87416185,2167,2128
0,57,0,0,0,57
1,110,24.6,0.6,57,148
2,188,24.6,0.6,148,294
3,384,24.41496599,0.813877551,294,600
4,629,23.83466667,1.59355,600,1050
5,859,21.11428571,5.126971429,1050,1465
6,1013,18.10170648,8.869576792,1465,1682
7,1279,16.25231867,10.45614744,1682,1853
8,1474,14.87263896,11.89070696,1853,1879
9,1642,14.14848324,12.68072379,1879,1877
10,1932,14.36494406,12.44212573,1877,1901
11,2107,14.46975276,12.30937401,1901,1960
0,52,0,0,0,52
1,113,24.6,0.6,52,145
2,200,24.6,0.6,145,304
3,428,24.42105263,0.806842105,304,634
4,672,23.35709779,2.208438486,634,1092
5,835,20.2,6.20452381,1092,1501
6,1088,17.28647568,9.576015989,1501,1787
7,1285,15.12132065,11.89754896,1787,1945
8,1392,13.95185185,13.04246914,1945,2033
9,1707,13.41466072,13.59367013,2033,2117
10,1939,13.16422685,13.9028793,2117,2098
11,2071,13.40686869,13.54894444,2098,2090
0,50,0,0,0,50
1,101,24.6,0.6,50,138
2,219,24.6,0.6,138,320
3,434,24.26,0.993,320,655
4,606,23.35175573,2.275618321,655,1067
5,853,20.71621368,5.599578257,1067,1448
6,1039,17.85414365,8.863763812,1448,1548
7,1247,17.06718346,9.532196382,1548,1629
8,1456,16.30877839,10.27728054,1629,1796
9,1715,15.39955457,11.23463252,1796,1767
10,1887,15.54872666,11.06220713,1767,1833
11,2041,15.01702128,11.68867976,1833,1868
0,61,0,0,0,61
1,96,24.6,0.6,61,141
2,216,24.6,0.6,141,325
3,427,24.6,0.6,325,655
4,648,23.53740458,1.894748092,655,1099
5,875,20.48207461,5.756251137,1099,1463
6,1002,17.64661654,9.143526999,1463,1674
7,1318,16.24587814,10.37349462,1674,1787
8,1498,15.40514829,11.25254617,1787,1848
9,1710,14.83722944,11.89640152,1848,1925
10,2022,14.1625974,12.70967273,1925,1949
11,2191,13.97957927,12.8759569,1949,1982
0,41,0,0,0,41
1,106,24.6,0.6,41,134
2,212,24.6,0.6,134,307
3,385,24.352443,0.957100977,307,600
4,648,23.47733333,2.1155,600,1070
5,820,21.01420561,5.233345794,1070,1498
6,1096,17.39572764,9.50894526,1498,1712
7,1278,15.92757009,10.72609813,1712,1879
8,1468,14.53336881,12.4097339,1879,1872
9,1649,14.17094017,12.72458333,1872,1991
10,1897,13.72827725,13.17737318,1991,2041
11,2118,13.41414538,13.54023084,2041,2060
0,54,0,0,0,54
1,107,24.6,0.6,54,146
2,184,24.6,0.6,146,289
3,406,24.6,0.6,289,614
4,622,23.95374593,1.417947883,614,1032
5,828,20.85503876,5.329777132,1032,1440
6,1059,17.77833333,9.135506944,1440,1679
7,1294,16.24645622,10.37247767,1679,1685
8,1448,16.24486647,10.28340653,1685,1719
9,1688,16.26910995,10.2295288,1719,1836
10,1837,15.17342048,11.50788126,1836,1936
11,2066,14.23429752,12.59278409,1936,2029
0,58,0,0,0,58
1,106,24.6,0.6,58,146
2,209,24.6,0.6,146,326
3,455,24.51656442,0.696441718,326,684
4,638,23.02339181,2.708991228,684,1107
5,859,20.37597109,6.112158988,1107,1483
6,1038,17.52784895,9.303358058,1483,1736
7,1261,15.64147465,11.24360023,1736,1863
8,1523,14.64487386,12.20049383,1863,1966
9,1649,13.92085453,12.97707528,1966,2041
10,1871,13.36620825,13.61703831,2041,2034
11,2080,13.44402201,13.52768884,2034,2125
0,54,0,0,0,54
1,116,24.6,0.6,54,149
2,233,24.6,0.6,149,341
3,413,24.21759531,1.105894428,341,661
4,616,23.27715582,2.425642965,661,1067
5,869,20.19587629,6.160196813,1067,1472
6,1033,17.425,9.411392663,1472,1643
7,1257,16.3804017,10.32627511,1643,1739
8,1464,16.01023577,10.57886141,1739,1740
9,1630,16.07264368,10.45662069,1740,1894
10,1945,14.58057022,12.22728617,1894,1974
11,2155,13.94346505,12.95080547,1974,2039
0,45,0,0,0,45
1,104,24.6,0.6,45,129
2,202,24.6,0.6,129,285
3,444,24.6,0.6,285,649
4,648,23.55346687,1.977488444,649,1107
5,826,20.5862692,5.731336947,1107,1480
6,1065,17.62918919,9.172574324,1480,1754
7,1276,15.46020525,11.41290764,1754,1885
8,1478,14.42917772,12.44872149,1885,1918
9,1743,14.32846715,12.48404067,1918,1879
10,1811,14.10505588,12.7309207,1879,1855
11,2133,14.37250674,12.42177898,1855,1896
0,59,0,0,0,59
1,99,24.6,0.6,59,141
2,214,24.6,0.6,141,316
3,417,24.51392405,0.699493671,316,634
4,647,23.41766562,2.20714511,634,1084
5,781,20.31291513,6.057739852,1084,1452
6,1065,17.984573,8.891742424,1452,1737
7,1223,15.76131261,11.15507772,1737,1933
8,1551,14.17268495,12.97954992,1933,2031
9,1684,13.42523411,13.5381863,2031,2095
10,1949,13.09874638,13.94661041,2095,2164
11,2082,13.0184438,13.98691643,2164,2127
